Ligand,Ki_nM,SMILES
RealLig1,0.4,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N
RealLig2,4.4,C1[C@H]([C@H](C2=CC=CC=C21)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)NCC3=C(C=CC=C3Cl)F)OCC4=CC=CC=C4)O)O)OCC5=CC=CC=C5)O
RealLig3,0.1,C1[C@H]([C@H](C2=CC=CC=C21)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)NCC3=CC=CC=C3)OCC4=CC=CC=C4)O)O)OCC5=CC=CC=C5)O
RealLig4,1.4,"C1[C@H]([C@H](C2=CC=CC=C21)NC(=O)[C@@H](C[C@H]([C@H](C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)OCC5=CC=CC=C5)O)OCC6=CC=CC=C6)O
"
RealLig5,3.2,C1[C@H]([C@H](C2=CC=CC=C21)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)OCC5=CC=CC=C5F)O)O)OCC6=CC=CC=C6F)O
RealLig6,7.1,"C1[C@H]([C@H](C2=CC=CC=C21)NC(=O)[C@@H]([C@@H]([C@H]([C@H](C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)OCC5=CC(=CC=C5)F)O)O)OCC6=CC(=CC=C6)F)O"
RealLig7,0,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)[C@@H]2CN(C(=O)O2)C3=CC=CC(=C3)C(F)(F)F)O)S(=O)(=O)C4=CC5=C(C=C4)OCO5
RealLig8,0.3,"C1=CC=C(C=C1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2CC3=CC(=CC=C3)N)CC4=CC(=CC=C4)N)CC5=CC=CC=C5)O)O
"
RealLig9,5,"COC1=C(C=CC(=C1)CN2[C@@H]([C@@H](CN(N(C2=O)CC3=CC(=C(C=C3)O)OC)CC4=CC=CC=C4)O)CC5=CC=CC=C5)O"
RealLig10,0,"CC(C)(C)NC(=O)[C@@H]1CSCN1C(=O)[C@H]([C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSC)NC(=O)COC3=CC=CC4=C3C=CN=C4)O"
RealLig11,0.1,"CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O"
RealLig12,9,"CC(C)[C@@H](C(=O)NN(CC1=CC=CC=C1)C[C@@](CC2=CC=CC=C2)(C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)NC(=O)OC"
RealLig13,1.1,"C1[C@H]([C@H](C2=CC=CC=C21)NC(=O)[C@H](CCC3=CC=CC=C3)[C@H]([C@@H]([C@@H](CCC4=CC=CC=C4)C(=O)N[C@@H]5[C@@H](CC6=CC=CC=C56)O)O)O)O"
RealLig14,19.4,"CC(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C[C@@H]([C@H](CC2=CC=CC=C2)NC(=O)[C@@H]3CN(C(=O)O3)C4=CC=CC=C4)O)N5CCCNC5=O"